time,open,high,low,close
1661385600,21502,21800,21295.5,21553
1661472000,21553,21933.5,20110,20237.5
1661558400,20237.5,20360,19758.5,20026.5
1661644800,20026.5,20145,19517,19551.5
1661731200,19551.5,20427.5,19549,20284
1661817600,20284,20561.5,19530,19806.5
1661904000,19806.5,20488,19793.5,20046.5
1661990400,20046.5,20198,19563,20115
1662076800,20115,20424,19743.5,19941.5
1662163200,19941.5,20045,19650,19822
1662249600,19822,20019.5,19575,19995.5
1662336000,19995.5,20045,19628.5,19784.5
1662422400,19784.5,20168.5,18525,18786.5
1662508800,18786.5,19446.5,18525,19285.5
1662595200,19285.5,19440,19010,19308.5
1662681600,19308.5,21579.5,19282.5,21347.5
1662768000,21347.5,21795.5,21112.5,21634
1662854400,21634,21865,21340.5,21818.5
1662940800,21818.5,22464.5,21539,22382.5
1663027200,22382.5,22846.5,19856,20162
1663113600,20162,20515,19603.5,20220.5
1663200000,20220.5,20317,19501.5,19693.5
1663286400,19693.5,19883,19327.5,19798
1663372800,19798,20180.5,19746,20102.5
1663459200,20102.5,20106.5,19328.5,19404
1663545600,19404,19669,18230,19530
1663632000,19530,19626,18727,18867.5
1663718400,18867.5,20085.5,18132.5,18451.5
1663804800,18451.5,19495,18352,19393
1663891200,19393,19491.5,18525,19280
1663977600,19280,19305,18800,18911
1664064000,18911,19164,18621,18804
1664150400,18804,19305,18672,19216.5
1664236800,19216.5,20366.5,18810,19071
1664323200,19071,19770,18473.5,19407
1664409600,19407,19642,18833,19581.5
1664496000,19581.5,20164.5,19152,19411.5
1664582400,19411.5,19469.5,19156,19304
1664668800,19304,19386,18851,19050.5
1664755200,19050.5,19711.5,18955,19621
1664841600,19621,20446.5,19488,20331
1664928000,20331,20354.5,19721,20149.5
1665014400,20149.5,20443,19848.5,19955
1665100800,19955,20050,19316.5,19522
1665187200,19522,19621,19260.5,19408
1665273600,19408,19544,19314.5,19430.5
1665360000,19430.5,19514.5,19005.5,19121.5
1665446400,19121.5,19260,18855.5,19056
1665532800,19056,19227.5,18960,19149
1665619200,19149,19500.5,18033.5,19366.5
1665705600,19366.5,19946,19065.5,19170.5
1665792000,19170.5,19215.5,18968,19062.5
1665878400,19062.5,19417,19060,19254.5
1665964800,19254.5,19667.5,19150.5,19542.5
1666051200,19542.5,19700,19087,19321.5
1666137600,19321.5,19349,19060.5,19117
1666224000,19117,19347,18901,19037
1666310400,19037,19242,18650,19152.5
1666396800,19152.5,19251.5,19105,19193
1666483200,19193,19685,19065,19560.5
1666569600,19560.5,19592.5,19152,19319
1666656000,19319,20413.5,19230.5,20067
1666742400,20067,21008.5,20039.5,20754.5
1666828800,20754.5,20858,20180,20284.5
1666915200,20284.5,20736,19988.5,20583
1667001600,20583,21053,20549,20794.5
1667088000,20794.5,20920.5,20504,20614
1667174400,20614,20833,20232.5,20482.5
1667260800,20482.5,20687,20322,20472
1667347200,20472,20793,20051,20141
1667433600,20141,20396.5,20033.5,20201.5
1667520000,20201.5,21291.5,20172.5,21133.5
1667606400,21133.5,21463,21065,21283.5
1667692800,21283.5,21347,20874,20892.5
1667779200,20892.5,21052,20377.5,20579.5
1667865600,20579.5,20685.5,16863,18535
1667952000,18535,18575.5,15463,15906
1668038400,15906,18200,15733,17591
1668124800,17591,17678,16351.5,17044.5
1668211200,17044.5,17109,16625,16800
1668297600,16800,16948.5,16217.5,16322
1668384000,16322,17188,15810,16603.5
1668470400,16603.5,17123.5,16518,16886.5
1668556800,16886.5,17006.5,16366.5,16649.5
1668643200,16649.5,16742,16405.5,16681.5
1668729600,16681.5,16980,16543.5,16689.5
1668816000,16689.5,16811,16548.5,16694
1668902400,16694,16743.5,16173,16274
1668988800,16274,16305,15450.5,15773.5
1669075200,15773.5,16309,15612,16219
1669161600,16219,16694.5,16156,16597
1669248000,16597,16800,16452,16591.5
1669334400,16591.5,16624,16337,16513
1669420800,16513,16697,16375,16449
1669507200,16449,16590.5,16400,16421.5
1669593600,16421.5,16474,15992,16204
1669680000,16204,16540,16087,16433
1669766400,16433,17247.5,16421,17153.5
1669852800,17153.5,17298.5,16850,16969
1669939200,16969,17093.5,16767,17083
1670025600,17083,17161,16855,16878
1670112000,16878,17206,16874,17100.5
1670198400,17100.5,17413.5,16865.5,16960
1670284800,16960,17099.5,16900.5,17077.5
1670371200,17077.5,17127.5,16683.5,16823.5
1670457600,16823.5,17290,16730.5,17211
1670544000,17211,17340,17058,17120.5
1670630400,17120.5,17218.5,17085.5,17117.5
1670716800,17117.5,17263.5,17070,17080.5
1670803200,17080.5,17238,16868,17203.5
1670889600,17203.5,17980,17081.5,17782.5
1670976000,17782.5,18397,17662.5,17805.5
1671062400,17805.5,17850.5,17280,17356.5
1671148800,17356.5,17528,16520.5,16621
1671235200,16621,16790,16570,16771
1671321600,16771,16840,16655.5,16730.5
1671408000,16730.5,16806,16250.5,16430
1671494400,16430,17040,16391.5,16890
1671580800,16890,16914,16725,16826.5
1671667200,16826.5,16861,16561.5,16818
1671753600,16818,16937.5,16707,16780.5
1671840000,16780.5,16858.5,16779,16834.5
1671926400,16834.5,16852,16700.5,16829
1672012800,16829,16937,16786,16910
1672099200,16910,16964,16597.5,16701.5
1672185600,16701.5,16779,16414.5,16544.5
1672272000,16544.5,16662.5,16489,16635.5
1672358400,16635.5,16661.5,16334.5,16605.5
1672444800,16605.5,16640.5,16468,16541
1672531200,16541,16622,16499,16612
1672617600,16612,16799,16545,16668
1672704000,16668,16772.5,16604.5,16670.5
1672790400,16670.5,16976,16651.5,16838
1672876800,16838,16869,16744,16820.5
1672963200,16820.5,17029,16678.5,16939
1673049600,16939,16969,16899,16932
1673136000,16932,17179.5,16901,17122.5
1673222400,17122.5,17382,17095.5,17167
1673308800,17167,17479.5,17138,17422
1673395200,17422,18000,17307,17930.5
1673481600,17930.5,19113.5,17896.5,18834.5
1673568000,18834.5,19985,18711.5,19921.5
1673654400,19921.5,21475,19880,20963
1673740800,20963,21070,20556,20882
1673827200,20882,21490.5,20617.5,21188.5
1673913600,21188.5,21580,20833,21125
1674000000,21125,21653,20393,20678
1674086400,20678,21180,20660,21063.5
1674172800,21063.5,22749,20861.5,22660.5
1674259200,22660.5,23382,22423.5,22781.5
1674345600,22781.5,23070,22299,22701
1674432000,22701,23180,22504,22910.5
1674518400,22910.5,23155,22451.5,22626
1674604800,22626,23834.5,22311,23046.5
1674691200,23046.5,23265,22836.5,22992
1674777600,22992,23488.5,22522,23059.5
1674864000,23059.5,23172,22870.5,23007.5
1674950400,23007.5,23958,22955,23744
1675036800,23744,23804,22487,22820
1675123200,22820,23329,22717,23118.5
1675209600,23118.5,23830,22755.5,23729.5
1675296000,23729.5,24279.5,23376.5,23499
1675382400,23499,23718,23208,23430
1675468800,23430,23588,23254.5,23322
1675555200,23322,23430,22751.5,22927
1675641600,22927,23145,22608.5,22759.5
1675728000,22759.5,23341,22743.5,23233.5
1675814400,23233.5,23446.5,22665.5,22944
1675900800,22944,22988.5,21699.5,21802
1675987200,21802,21943,21409.7,21618.5
1676073600,21618.5,21891.9,21594.4,21851.2
1676160000,21851.2,22078,21526,21772.4
1676246400,21772.4,21884.7,21302.4,21766.2
1676332800,21766.2,22330,21500,22187.2
1676419200,22187.2,24421,22038.5,24335.5
1676505600,24335.5,25270,23520,23524.2
1676592000,23524.2,25036.8,23354,24586.6
1676678400,24586.6,24888,24446.1,24636.7
1676764800,24636.7,25200,24178.8,24275.7
1676851200,24275.7,25131,23820,24849.7
1676937600,24849.7,25350,24153,24443.5
1677024000,24443.5,24468.5,23572,24171.2
1677110400,24171.2,24588,23600,23928.8
1677196800,23928.8,24119.8,22800,23175.5
1677283200,23175.5,23207.8,22710.5,23146.2
1677369600,23146.2,23674,23050,23545.2
1677456000,23545.2,23887.3,23100,23474.9
1677542400,23474.9,23588,23011.2,23122.7
1677628800,23122.7,23998.9,23008.4,23620.4
1677715200,23620.4,23787,23190.1,23457.2
1677801600,23457.2,23468.5,21786.9,22342.9
1677888000,22342.9,22396.8,22153,22335.7
1677974400,22335.7,22649,22181,22419.4
1678060800,22419.4,22590,22233.3,22397.1
1678147200,22397.1,22541,21920,22187.2
1678233600,22187.2,22269.9,21580.1,21695.2
1678320000,21695.2,21823,20010.1,20348.4
1678406400,20348.4,20348.4,19548.5,20140.4
1678492800,20140.4,20669.9,19761,20448.5
1678579200,20448.5,22157.7,20266.6,21983.9
1678665600,21983.9,24516.5,21804.5,24117.9
1678752000,24117.9,26476.7,23966,24685.5
1678838400,24685.5,25189.9,23890.3,24288
1678924800,24288,25157.9,24131.4,24992.9
1679011200,24992.9,27762.5,24874.4,27384.4
1679097600,27384.4,27717,26559,26907.1
1679184000,26907.1,28384.7,26819.9,27955.8
1679270400,27955.8,28470,27125.1,27705.9
1679356800,27705.9,28449.2,27290.5,28091
1679443200,28091,28877.4,26588.5,27230.9
1679529600,27230.9,28787,27103.9,28284
1679616000,28284,28364.3,26961.6,27439
1679702400,27439,27775,27145.4,27447.2
1679788800,27447.2,28180,27403.9,27954.2
1679875200,27954.2,28015,26491.2,27112
1679961600,27112,27489.9,26614,27249.7
1680048000,27249.7,28655.6,27223.5,28338.6
1680134400,28338.6,29185.3,27680,28015.1
1680220800,28015.1,28665.9,27500.3,28455
1680307200,28455,28831.6,28220,28443.7
1680393600,28443.7,28509.9,27835.1,28161.3
1680480000,28161.3,28510.1,27169.9,27790.9
1680566400,27790.9,28430,27650.9,28155.2
1680652800,28155.2,28771.9,27788,28158.9
1680739200,28158.9,28167.7,27700.5,28023
1680825600,28023,28092.8,27755,27890.8
1680912000,27890.8,28146.9,27854,27928.4
1680998400,27928.4,28531,27773.4,28309.3
1681084800,28309.3,29832,28157,29623
1681171200,29623,30560,29574.4,30185
1681257600,30185,30472.7,29624.8,29875
1681344000,29875,30589,29839.2,30362.5
1681430400,30362.5,31020,29960.1,30453
1681516800,30453,30590.6,30187.5,30280.4
1681603200,30280.4,30560,30103,30290.3
1681689600,30290.3,30300,29226,29420.1
1681776000,29420.1,30478,29080.1,30365.9
1681862400,30365.9,30400,28566.1,28804.7
1681948800,28804.7,29069.7,27992,28229.6
1682035200,28229.6,28362.4,27120,27252.5
1682121600,27252.5,27873.5,27128.3,27804.5
1682208000,27804.5,27807.3,27300.1,27575.9
1682294400,27575.9,27979.9,26932,27497.6
1682380800,27497.6,28379,27180,28286.8
1682467200,28286.8,30064.3,27201.1,28394.5
1682553600,28394.5,29888,28369.7,29459
1682640000,29459,29580.6,28877.3,29300.1
1682726400,29300.1,29431.5,29010,29212.7
1682812800,29212.7,29945.5,29071.3,29215.9
1682899200,29215.9,29322.2,27652,28054.4
1682985600,28054.4,28873,27854.2,28656.5
1683072000,28656.5,29257.2,28103.7,29015.6
1683158400,29015.6,29370.9,28660,28826
1683244800,28826,29677.9,28750.5,29491.6
1683331200,29491.6,29839.9,28351,28839.1
1683417600,28839.1,29129.9,28377.1,28417.1
1683504000,28417.1,28616.1,27250.2,27659.8
1683590400,27659.8,27809.7,27337.9,27618.2
1683676800,27618.2,28296.7,26705,27582.9
1683763200,27582.9,27610.1,26687.6,26955.7
1683849600,26955.7,27062.1,25768.1,26785.2
1683936000,26785.2,27035,26680,26762.8
1684022400,26762.8,27191.6,26558.5,26904.1
1684108800,26904.1,27648,26720,27152.5
1684195200,27152.5,27284,26834.6,27024.8
1684281600,27024.8,27499.8,26529.4,27395.8
1684368000,27395.8,27470,26340.1,26812.3
1684454400,26812.3,27167.5,26611.4,26870
1684540800,26870,27138,26813.5,27089.5
1684627200,27089.5,27278.5,26657,26732.9
1684713600,26732.9,27089.9,26489.3,26840.3
1684800000,26840.3,27525,26790.1,27212
1684886400,27212,27212.1,26060,26313.8
1684972800,26313.8,26609,25852.6,26461.7
1685059200,26461.7,26925.1,26315.2,26695.1
1685145600,26695.1,26869.9,26540.7,26841.5
1685232000,26841.5,28233.9,26749.9,28055.7
1685318400,28055.7,28438.8,27524,27722
1685404800,27722,28037.8,27544.7,27680
1685491200,27680,27817.9,26831.7,27201
1685577600,27201,27347.9,26610,26805.3
1685664000,26805.3,27290,26483.5,27227.8
1685750400,27227.8,27317.9,26904.5,27055
1685836800,27055,27450.8,26941,27105.7
1685923200,27105.7,27120,25364.2,25713.9
1686009600,25713.9,27350,25317.4,27220
1686096000,27220,27383.7,26119,26332.8
1686182400,26332.8,26795,26200,26485.9
1686268800,26485.9,26765.2,26256.7,26468
1686355200,26468,26524.9,25330,25826.5
1686441600,25826.5,26198.2,25621.5,25910.1
1686528000,25910.1,26092.4,25601,25894.7
1686614400,25894.7,26417,25714.2,25918
1686700800,25918,26115.6,24800,25115.9
1686787200,25115.9,25750,24778.4,25586
1686873600,25586,26500,25155,26334.9
1686960000,26334.9,26903.2,26170.9,26508.9
1687046400,26508.9,26703.9,26235.8,26329.7
1687132800,26329.7,27069.9,26240.1,26828.5
1687219200,26828.5,28395,26639.9,28289.9
1687305600,28289.9,30833,28243,29988.4
1687392000,29988.4,30488,29500.9,29875
1687478400,29875,31474,29792.7,30673.5
1687564800,30673.5,30789,30233.7,30524.2
1687651200,30524.2,31040.4,30257.9,30458.1
1687737600,30458.1,30655.5,29910.2,30260.2
1687824000,30260.2,30994.6,30218.8,30683.2
1687910400,30683.2,30695,29814,30066.4
1687996800,30066.4,30832,30040.5,30440
1688083200,30440,31293.8,29500.1,30460.3
1688169600,30460.3,30657,30312.4,30573.6
1688256000,30573.6,30784.4,30160.2,30614
1688342400,30614,31387.1,30564.5,31149
1688428800,31149,31314.8,30601.2,30756.3
1688515200,30756.3,30868.2,30184.4,30488.4
1688601600,30488.4,31540.8,29828.8,29874.4
1688688000,29874.4,30439.5,29678.1,30327.9
1688774400,30327.9,30377.2,30030.1,30269.2
1688860800,30269.2,30442.4,30047.4,30145.5
