time,open,high,low,close
1729292100,68225.1,68226,68207.2,68209.9
1729292160,68209.9,68209.9,68206.6,68207
1729292220,68207,68207,68201.9,68205.1
1729292280,68205.1,68211.9,68187.5,68196.2
1729292340,68196.2,68198.1,68194.2,68195.8
1729292400,68195.8,68195.8,68191.5,68193.6
1729292460,68193.6,68226.7,68193.6,68226.7
1729292520,68226.7,68240.2,68226.7,68236.8
1729292580,68236.8,68240.2,68236.8,68237.9
1729292640,68237.9,68237.9,68237.9,68237.9
1729292700,68237.9,68259.8,68237.9,68257.8
1729292760,68257.8,68260.9,68242.2,68245.2
1729292820,68245.2,68287.9,68245.2,68287.9
1729292880,68287.9,68314.6,68273.1,68293.6
1729292940,68293.6,68295.1,68286,68295.1
1729293000,68295.1,68308,68273.9,68292.9
1729293060,68292.9,68307.9,68291.9,68306.3
1729293120,68306.3,68320.4,68306.3,68319.6
1729293180,68319.6,68324,68319.6,68324
1729293240,68324,68329.5,68320.6,68320.6
1729293300,68320.6,68329.5,68320.6,68328.1
1729293360,68328.1,68328.1,68322.6,68322.6
1729293420,68322.6,68352.1,68322.6,68352.1
1729293480,68352.1,68368.2,68347.5,68368.2
1729293540,68368.2,68368.2,68362.6,68365.8
1729293600,68365.8,68369.9,68332.9,68332.9
1729293660,68332.9,68351.8,68327.4,68347.2
1729293720,68347.2,68347.2,68330.4,68335.5
1729293780,68335.5,68350,68335.5,68350
1729293840,68350,68379.4,68350,68379.4
1729293900,68379.4,68382.1,68369.6,68369.6
1729293960,68369.6,68369.6,68361.8,68362.1
1729294020,68362.1,68362.1,68348.6,68348.6
1729294080,68348.6,68359.9,68348.2,68359.9
1729294140,68359.9,68389,68359.9,68382.3
1729294200,68382.3,68385.2,68359.8,68359.8
1729294260,68359.8,68372.1,68343.7,68343.7
1729294320,68343.7,68343.7,68321.8,68329.4
1729294380,68329.4,68329.4,68316.2,68321.9
1729294440,68321.9,68333.2,68321.8,68330.1
1729294500,68330.1,68332.2,68325.6,68329.1
1729294560,68329.1,68329.2,68329.1,68329.1
1729294620,68329.1,68329.2,68318.3,68318.3
1729294680,68318.3,68365.6,68318.3,68351
1729294740,68351,68382.7,68351,68376.8
1729294800,68376.8,68378,68368.9,68371.1
1729294860,68371.1,68375.8,68371.1,68373.4
1729294920,68373.4,68378.5,68371.7,68371.7
1729294980,68371.7,68374.3,68355.2,68355.2
1729295040,68355.2,68368.5,68355.2,68368.5
1729295100,68368.5,68372.1,68357.8,68367.1
1729295160,68367.1,68370.7,68367.1,68370.6
1729295220,68370.6,68370.6,68370.6,68370.6
1729295280,68370.6,68450,68370.6,68450
1729295340,68450,68450,68399.7,68399.7
1729295400,68399.7,68442.8,68398.3,68440.9
1729295460,68440.9,68448.5,68439.5,68446.4
1729295520,68446.4,68446.5,68443.9,68446.5
1729295580,68446.5,68455.7,68446.5,68448
1729295640,68448,68448,68444.4,68444.4
1729295700,68444.4,68444.4,68424.6,68424.6
1729295760,68424.6,68424.6,68424.6,68424.6
1729295820,68424.6,68433.3,68414.6,68414.6
1729295880,68414.6,68414.6,68403.3,68406
1729295940,68406,68413.4,68406,68413.4
1729296000,68413.4,68428.1,68410.3,68428.1
1729296060,68428.1,68428.1,68407.1,68407.4
1729296120,68407.4,68435.2,68407.1,68435.2
1729296180,68435.2,68470.3,68431.4,68470.3
1729296240,68470.3,68470.3,68444,68444
1729296300,68444,68444.1,68435.9,68435.9
