time,open,high,low,close
1685649600,26851.7,26932.1,26702.5,26805.3
1685664000,26805.3,27008.5,26483.5,26986.4
1685678400,26986.4,27198.1,26941.7,27038.3
1685692800,27038.3,27172.9,27038.3,27118.4
1685707200,27118.4,27247.6,26857,27081.2
1685721600,27081.2,27277.9,26989.4,27225
1685736000,27225,27290,27133,27227.8
1685750400,27227.8,27230.3,27087,27130.9
1685764800,27130.9,27208.4,27099.7,27161.3
1685779200,27161.3,27173.8,27100.2,27120.1
1685793600,27120.1,27317.9,27115.4,27296.1
1685808000,27296.1,27312,27024,27085
1685822400,27085,27119.5,26904.5,27055
1685836800,27055,27097.1,26941,27052.7
1685851200,27052.7,27153.2,27022,27141
1685865600,27141,27245,27110.2,27190.8
1685880000,27190.8,27285.9,27151.3,27166.9
1685894400,27166.9,27216.1,27150.3,27205
1685908800,27205,27450.8,27027.1,27105.7
1685923200,27105.7,27120,26786,26835.9
1685937600,26835.9,26858,26732,26816.9
1685952000,26816.9,26831.2,26652.5,26767.8
1685966400,26767.8,26809,26009,26028.9
1685980800,26028.9,26081.6,25364.2,25618
1685995200,25618,25842.8,25500.2,25713.9
1686009600,25713.9,25781.3,25595.1,25719.7
1686024000,25719.7,25803.4,25690.7,25706.4
1686038400,25706.4,25786.1,25625.9,25672.6
1686052800,25672.6,26138.4,25317.4,26051.2
1686067200,26051.2,27217.8,26051.2,27075
1686081600,27075,27350,26885.8,27220
1686096000,27220,27383.7,26720,26898.1
1686110400,26898.1,26966.1,26743.2,26786.7
1686124800,26786.7,26968,26346.1,26883
1686139200,26883,26899.6,26224.8,26334
1686153600,26334,26546.2,26230.5,26469
1686168000,26469,26483.4,26119,26332.8
1686182400,26332.8,26458.7,26200,26332
1686196800,26332,26511.5,26277.3,26431.5
1686211200,26431.5,26488.8,26358.1,26421.4
1686225600,26421.4,26795,26290.5,26706.1
1686240000,26706.1,26720.5,26400,26529.1
1686254400,26529.1,26639.3,26475,26485.9
1686268800,26485.9,26586,26256.7,26469.5
1686283200,26469.5,26567.6,26417.5,26482.5
1686297600,26482.5,26678,26476.8,26599.7
