time,open,high,low,close
1728928440,65696.4,65702.4,65634.7,65677.1
1728928620,65677.1,65696.7,65627.8,65627.8
1728928800,65627.8,65756.5,65563.2,65581.6
1728928980,65581.6,65714.8,65581.6,65678.1
1728929160,65678.1,65842.3,65678.1,65786
1728929340,65786,65828.6,65770.4,65820.2
1728929520,65820.2,65874,65785.8,65801.4
1728929700,65801.4,65831.8,65739.3,65745.9
1728929880,65745.9,65867.6,65737.7,65853.6
1728930060,65853.6,65867.2,65803.1,65867.2
1728930240,65867.2,65898.9,65824.9,65834.7
1728930420,65834.7,65861.4,65817.2,65853.4
1728930600,65853.4,65898.3,65785.3,65819.6
1728930780,65819.6,65851.6,65807.2,65834
1728930960,65834,65914.8,65825.1,65911.4
1728931140,65911.4,65955.3,65898.5,65922
1728931320,65922,65949.4,65877.5,65947.8
1728931500,65947.8,65947.8,65846.6,65855
1728931680,65855,65908.4,65851.2,65897.5
1728931860,65897.5,65901.2,65789.6,65806.4
1728932040,65806.4,65847.1,65804.5,65817
1728932220,65817,65817,65748.9,65757.8
1728932400,65757.8,65835.2,65704.6,65828.6
1728932580,65828.6,65852.9,65815.7,65839.1
1728932760,65839.1,65920.8,65839.1,65918.3
1728932940,65918.3,65955.1,65908.1,65955.1
1728933120,65955.1,66000,65955.1,65989.4
1728933300,65989.4,66043.7,65928.5,65981.7
1728933480,65981.7,66022.1,65981.7,66019.5
1728933660,66019.5,66044.4,65795.8,65811.4
1728933840,65811.4,65829.2,65746.7,65822.3
1728934020,65822.3,65886.1,65802.9,65849.6
1728934200,65849.6,65956.7,65849.6,65941.7
1728934380,65941.7,66000.2,65929.5,65982.1
1728934560,65982.1,66020.8,65948.8,66000.3
1728934740,66000.3,66037.7,65954,66010.4
1728934920,66010.4,66032.3,65940.3,66030.7
1728935100,66030.7,66056.1,65972.2,66046.9
1728935280,66046.9,66055.3,65981.2,65998.5
1728935460,65998.5,66034.3,65955.2,66008.6
1728935640,66008.6,66023.4,65979.1,66015.1
1728935820,66015.1,66015.1,65872.2,65920.2
1728936000,65920.2,65920.2,65836.6,65862.9
1728936180,65862.9,65870.9,65807.1,65816.5
1728936360,65816.5,65946.2,65797.5,65918.3
1728936540,65918.3,65971.6,65903.3,65930.9
1728936720,65930.9,65976.9,65919.2,65968.5
1728936900,65968.5,66040.7,65948.2,66000
1728937080,66000,66011.8,65970.1,65970.1
1728937260,65970.1,65989,65947.2,65950.1
1728937440,65950.1,65983.3,65947.6,65983.3
1728937620,65983.3,66000,65962.6,66000
1728937800,66000,66036.3,65997.4,66013.1
1728937980,66013.1,66020.9,65948.1,65989.9
1728938160,65989.9,66005.4,65969.2,65969.2
1728938340,65969.2,65969.6,65923.9,65923.9
1728938520,65923.9,66006.3,65923.7,66004
1728938700,66004,66009.7,65972.7,65972.7
1728938880,65972.7,65975.7,65923.4,65975.7
1728939060,65975.7,65982.2,65931.1,65959.1
1728939240,65959.1,65959.1,65931.4,65948.4
1728939420,65948.4,65948.4,65881.8,65915.9
1728939600,65915.9,65933.4,65892.4,65910.1
1728939780,65910.1,65910.1,65860,65878.8
1728939960,65878.8,65966.8,65878.8,65966.8
1728940140,65966.8,65990.8,65946.8,65959.8
1728940320,65959.8,65967.3,65938,65955.3
1728940500,65955.3,65955.3,65912.5,65912.5
1728940680,65912.5,65912.5,65855.6,65888.1
1728940860,65888.1,65922.8,65851.5,65851.5
1728941040,65851.5,65851.5,65777.7,65777.7
1728941220,65777.7,65815.5,65760.1,65796.3
1728941400,65796.3,65836.6,65775.4,65791.4
1728941580,65791.4,65828.6,65763.3,65768.3
1728941760,65768.3,65811.5,65725.1,65811.5
1728941940,65811.5,65864.8,65800.8,65864.8
1728942120,65864.8,65869.2,65830.7,65850.5
1728942300,65850.5,65867.3,65810.8,65811.3
1728942480,65811.3,65819.9,65801.9,65811
1728942660,65811,65811,65780.6,65780.6
1728942840,65780.6,65793.9,65778.6,65788.3
1728943020,65788.3,65788.3,65753.6,65773.7
1728943200,65773.7,65864.2,65765,65832.5
1728943380,65832.5,65913.4,65832.5,65868.1
1728943560,65868.1,65985.4,65853.7,65970.1
1728943740,65970.1,65974.3,65892.9,65892.9
1728943920,65892.9,65970,65888.6,65970
1728944100,65970,66180.3,65926.5,66159.2
1728944280,66159.2,66199.7,66113.2,66197.6
1728944460,66197.6,66245,66078.8,66085.8
1728944640,66085.8,66209.4,66085.8,66199.5
1728944820,66199.5,66204.4,66098.8,66101.6
1728945000,66101.6,66156.8,66098,66135.6
1728945180,66135.6,66135.6,66007.4,66010.1
1728945360,66010.1,66069.2,66010.1,66060.6
1728945540,66060.6,66208.5,66034.8,66208.5
1728945720,66208.5,66271.6,66176.2,66190.7
1728945900,66190.7,66200.9,66102.6,66109.7
1728946080,66109.7,66187.6,66096.3,66159.8
1728946260,66159.8,66193.4,66119.8,66142
1728946440,66142,66231.8,66122.4,66214.4
1728946620,66214.4,66509,66201.7,66452.4
1728946800,66452.4,66501.2,66301.8,66306.9
1728946980,66306.9,66440.6,66298.4,66305.3
1728947160,66305.3,66337.5,66219.8,66226.6
1728947340,66226.6,66238.4,66119.8,66209.1
1728947520,66209.1,66213.6,66118.7,66120.5
1728947700,66120.5,66150.7,66041.6,66059.7
1728947880,66059.7,66192.5,66058.6,66162.3
1728948060,66162.3,66200.6,66131.3,66185.3
1728948240,66185.3,66199.9,66124.1,66139.7
1728948420,66139.7,66198.3,66136.6,66142.8
1728948600,66142.8,66142.8,66084.5,66084.5
1728948780,66084.5,66110.1,66059.2,66060.3
1728948960,66060.3,66080.2,66050.1,66064.7
1728949140,66064.7,66078.6,66035.1,66053.2
1728949320,66053.2,66096.3,66039.2,66049.9
1728949500,66049.9,66155.3,66042.7,66118.5
1728949680,66118.5,66139.7,66095.9,66098.3
