time,open,high,low,close
1728564600,60897.1,60955,60827.3,60947
1728564900,60947,61037.7,60911,60945.8
1728565200,60945.8,61019,60887.1,61005.9
1728565500,61005.9,61055.1,60918.4,60961.2
1728565800,60961.2,61042.4,60911.8,61004.4
1728566100,61004.4,61131,61004.4,61115
1728566400,61115,61236.2,61113.2,61236
1728566700,61236,61236,61086.6,61126.8
1728567000,61126.8,61131.4,60930.6,60937.1
1728567300,60937.1,60987,60880.1,60937.9
1728567600,60937.9,60952.2,60814.8,60859.5
1728567900,60859.5,60859.5,60607,60692.2
1728568200,60692.2,60744.7,60615.1,60735.2
1728568500,60735.2,61034.4,60719.1,60922.4
1728568800,60922.4,61033.7,60900.1,60900.9
1728569100,60900.9,60923.9,60744.8,60856.1
1728569400,60856.1,60989.9,60854.4,60890.6
1728569700,60890.6,60949.9,60800.1,60800.1
1728570000,60800.1,60830.2,60684.1,60690.6
1728570300,60690.6,60749.8,60646.8,60728.4
1728570600,60728.4,60750,60570.9,60593.7
1728570900,60593.7,60654.7,60505.5,60607.5
1728571200,60607.5,60622.1,60524,60562.9
1728571500,60562.9,60659.7,60540.3,60620.1
1728571800,60620.1,60690.6,60552.6,60567
1728572100,60567,60660.9,60563.2,60579.2
1728572400,60579.2,60625.2,60433.3,60606.2
1728572700,60606.2,60749.7,60584,60722.8
1728573000,60722.8,60744.6,60658.3,60738
1728573300,60738,60748.5,60613.9,60673.2
1728573600,60673.2,60709.1,60494.1,60538.4
1728573900,60538.4,60555.1,60460,60472.5
1728574200,60472.5,60553,60431.6,60524.6
1728574500,60524.6,60568.5,60467,60567.6
1728574800,60567.6,60624.4,60521.9,60619.8
1728575100,60619.8,60631.9,60557,60612.2
1728575400,60612.2,60742.6,60611.3,60703.2
1728575700,60703.2,60802.1,60702.6,60769.6
1728576000,60769.6,61017.8,60769.5,60926.5
1728576300,60926.5,60955.6,60754.8,60757.4
1728576600,60757.4,60788,60666.8,60736.3
1728576900,60736.3,60772,60701.6,60717
1728577200,60717,60795.8,60672.6,60685.8
1728577500,60685.8,60711.2,60498,60537.7
1728577800,60537.7,60557,60441.8,60557
1728578100,60557,60589.7,60512.1,60524.8
1728578400,60524.8,60579.8,60457.7,60496.9
1728578700,60496.9,60519.8,60444.1,60444.1
1728579000,60444.1,60509.5,60333,60374.3
1728579300,60374.3,60406,60240,60279.3
1728579600,60279.3,60446.6,60279.3,60355.6
1728579900,60355.6,60370.6,60035,60035
1728580200,60035,60223,59976.1,60174.8
1728580500,60174.8,60221.2,60058,60074
1728580800,60074,60200.6,60074,60200.3
1728581100,60200.3,60313.3,60197.1,60240.9
1728581400,60240.9,60310.1,60138.9,60189.5
1728581700,60189.5,60217.2,60130.2,60135.9
1728582000,60135.9,60204.9,60108.7,60193.4
1728582300,60193.4,60223.2,60029.3,60033.5
1728582600,60033.5,60072.4,59624.5,59655.1
1728582900,59655.1,59712.8,59550,59602
1728583200,59602,59602,59261.4,59261.4
1728583500,59261.4,59336.4,58933.2,58933.2
1728583800,58933.2,59253,58914.8,59151
1728584100,59151,59188.2,59019.2,59107.6
1728584400,59107.6,59108.6,58940.1,59031.4
1728584700,59031.4,59067.6,58937.5,59062.9
1728585000,59062.9,59313,58954.1,59306.8
1728585300,59306.8,59360,59153.5,59255.4
1728585600,59255.4,59259.8,59099.3,59218.3
1728585900,59218.3,59266.3,59168.8,59231.2
1728586200,59231.2,59328.8,59144.5,59328.7
1728586500,59328.7,59489.6,59327.9,59477.6
1728586800,59477.6,59530.9,59432.3,59495.1
1728587100,59495.1,59511.7,59350.5,59389.7
1728587400,59389.7,59436.3,59341.9,59397.7
1728587700,59397.7,59465.9,59334.3,59442.2
1728588000,59442.2,59488.6,59382.2,59408.8
1728588300,59408.8,59519.4,59399.7,59519.4
1728588600,59519.4,59607.7,59510,59560.1
1728588900,59560.1,59676.1,59560.1,59669.2
1728589200,59669.2,59678,59598.8,59663.6
1728589500,59663.6,59676.7,59632,59654.9
1728589800,59654.9,59703.9,59608.8,59680.6
1728590100,59680.6,59737,59662.9,59710.2
1728590400,59710.2,59756.8,59629.8,59736.4
1728590700,59736.4,59908.3,59723.5,59908.3
1728591000,59908.3,59958.8,59791,59952.9
1728591300,59952.9,60002,59633.1,59722.9
1728591600,59722.9,59738.7,59638.1,59638.1
1728591900,59638.1,59686.7,59631.7,59662
1728592200,59662,59697.5,59569,59585.7
1728592500,59585.7,59646.1,59564.1,59626.4
1728592800,59626.4,59728.4,59601.8,59714.8
1728593100,59714.8,59780,59704.2,59739.7
1728593400,59739.7,59789.9,59720.6,59745.2
1728593700,59745.2,59781,59694.8,59781
1728594000,59781,59781.3,59679,59701
1728594300,59701,59731.4,59669.6,59669.6
1728594600,59669.6,59750.9,59666.7,59697.5
1728594900,59697.5,59777,59697.5,59748.8
1728595200,59748.8,59829.8,59748.8,59829.7
1728595500,59829.7,59893.9,59827.6,59893.9
1728595800,59893.9,59968.6,59878.9,59919.6
1728596100,59919.6,59949,59834.6,59863.4
1728596400,59863.4,59873.9,59832.6,59837.7
1728596700,59837.7,59930.6,59833.8,59930.6
1728597000,59930.6,59999.9,59930.6,59999.2
1728597300,59999.2,60174.9,59999.2,60174.9
1728597600,60174.9,60182.5,60051.5,60058.9
1728597900,60058.9,60071.1,59990.8,60053.3
1728598200,60053.3,60053.3,59926.2,59948.7
1728598500,59948.7,59996.9,59923.7,59991.5
1728598800,59991.5,60055,59980.1,60043.5
1728599100,60043.5,60097.2,60033.4,60096
1728599400,60096,60135,60071.8,60113.8
1728599700,60113.8,60189.4,60110.1,60170.1
1728600000,60170.1,60223.2,60153.3,60213.5
1728600300,60213.5,60225.7,60166,60166
1728600600,60166,60189.5,60128.7,60179.4
1728600900,60179.4,60179.4,60124.5,60128.2
1728601200,60128.2,60173.1,60127.8,60173
1728601500,60173,60208.3,60173,60206.4
1728601800,60206.4,60251.6,60196.6,60242.1
1728602100,60242.1,60274,60227.1,60274
1728602400,60274,60280.2,60254.2,60260.2
1728602700,60260.2,60290.6,60202.8,60241.7
1728603000,60241.7,60278.5,60240.8,60240.8
1728603300,60240.8,60266.6,60220.1,60236.2
1728603600,60236.2,60258.9,60204.1,60224.1
1728603900,60224.1,60227.4,60180.5,60200.5
1728604200,60200.5,60253.6,60158.3,60253.6
1728604500,60253.6,60296.1,60253.6,60295.3
1728604800,60295.3,60296.1,60250.4,60259.9
1728605100,60259.9,60310.1,60238.1,60307.7
1728605400,60307.7,60339.9,60288.8,60318.7
1728605700,60318.7,60332.2,60267.4,60274.6
1728606000,60274.6,60292.4,60250.7,60260.5
1728606300,60260.5,60260.6,60179.2,60184.9
1728606600,60184.9,60228.2,60139.3,60199.7
1728606900,60199.7,60250.6,60184.7,60250.6
1728607200,60250.6,60272.4,60235.4,60269.1
1728607500,60269.1,60271,60214.8,60231.8
1728607800,60231.8,60275.6,60229.7,60249.7
1728608100,60249.7,60258,60166,60166
1728608400,60166,60207,60107.4,60163.7
1728608700,60163.7,60168.6,60082.8,60112.9
1728609000,60112.9,60162,60104.8,60117.8
1728609300,60117.8,60197,60117.8,60163.9
1728609600,60163.9,60201.9,60152.4,60176.4
1728609900,60176.4,60189.1,60116.5,60116.6
1728610200,60116.6,60128.3,60077.4,60085.9
1728610500,60085.9,60136.3,60062.7,60136.3
1728610800,60136.3,60171.3,60136.2,60145.1
1728611100,60145.1,60297.5,60145.1,60248.3
1728611400,60248.3,60487.8,60242.6,60466.7
1728611700,60466.7,60750,60466.7,60554.6
1728612000,60554.6,60582.4,60440.1,60440.1
1728612300,60440.1,60468.2,60392.3,60410.2
1728612600,60410.2,60447.6,60364.7,60383.4
1728612900,60383.4,60499.9,60383.4,60498.6
1728613200,60498.6,60498.6,60422.8,60456.2
