time,open,high,low,close
1718517600,66244,66359,66162.6,66303.1
1718521200,66303.1,66331.9,66229,66249.3
1718524800,66249.3,66330.3,66221.4,66261.8
1718528400,66261.8,66400,66169.2,66391.3
1718532000,66391.3,66772.3,66346.3,66696.2
1718535600,66696.2,66719.3,66413.5,66471.3
1718539200,66471.3,66631.6,66454.5,66577
1718542800,66577,66748.2,66533.8,66744.3
1718546400,66744.3,66772.6,66466.7,66501.4
1718550000,66501.4,66707.9,66487.3,66690.3
1718553600,66690.3,66724,66531.9,66572.5
1718557200,66572.5,66649.9,66508.3,66563
1718560800,66563,66648,66548.7,66573.9
1718564400,66573.9,66636.2,66499.4,66542.5
1718568000,66542.5,66596.3,66446.9,66499.9
1718571600,66499.9,66530.4,66440.9,66510.6
1718575200,66510.6,66956.9,66510.6,66731.9
1718578800,66731.9,66816.1,66607.3,66653.6
1718582400,66653.6,66903.3,66528,66568.8
1718586000,66568.8,66603.5,66264.1,66461.4
1718589600,66461.4,66461.4,66189,66324.5
1718593200,66324.5,66412.2,66113.1,66195.1
1718596800,66195.1,66423.5,66145,66423.1
1718600400,66423.1,66547.3,66268.9,66331.1
1718604000,66331.1,66372.1,66055.6,66107.7
1718607600,66107.7,66348.6,65910,66147.4
1718611200,66147.4,66290,65955,66172.4
1718614800,66172.4,66232,65581.6,65696.4
1718618400,65696.4,65934.2,65523.4,65863
1718622000,65863,66027.3,65776.1,65794.3
1718625600,65794.3,65807.5,65505,65595.1
1718629200,65595.1,65769.6,65170.6,65182.5
1718632800,65182.5,65769.1,65107.6,65444.8
1718636400,65444.8,65706.5,65238.9,65341.9
1718640000,65341.9,66037.8,65142,65866
1718643600,65866,66607.4,65866,66587.3
1718647200,66587.3,67280.6,66525.2,67067.8
1718650800,67067.8,67089.1,66538.2,66665.1
1718654400,66665.1,66736.6,66135.3,66375.9
1718658000,66375.9,66697.2,66280.4,66549.7
1718661600,66549.7,66678.2,66444.4,66632.4
1718665200,66632.4,66696.9,66358.3,66475.5
1718668800,66475.5,66558.9,65461.1,65730.2
1718672400,65730.2,65945.1,64567.3,65103.8
1718676000,65103.8,65626.4,64565,65432.5
