time,open,high,low,close
1728610320,60120.9,60121,60091.9,60096.4
1728610380,60096.4,60099.9,60077.4,60084.5
1728610440,60084.5,60092.6,60080.2,60085.9
1728610500,60085.9,60105.4,60085.8,60094.5
1728610560,60094.5,60094.5,60062.7,60080.6
1728610620,60080.6,60114.5,60080,60108.3
1728610680,60108.3,60116,60100,60101.2
1728610740,60101.2,60136.3,60101.2,60136.3
1728610800,60136.3,60161.4,60136.2,60157
1728610860,60157,60171.3,60155.1,60161.5
1728610920,60161.5,60170.7,60161.5,60169.2
1728610980,60169.2,60169.2,60155.8,60155.8
1728611040,60155.8,60155.8,60145.1,60145.1
1728611100,60145.1,60183.1,60145.1,60163.5
1728611160,60163.5,60241.8,60163.5,60238.9
1728611220,60238.9,60280.3,60238.9,60278.9
1728611280,60278.9,60297.5,60266.7,60266.7
1728611340,60266.7,60266.7,60248.3,60248.3
1728611400,60248.3,60307.4,60242.6,60307.4
1728611460,60307.4,60323.2,60304.8,60314.2
1728611520,60314.2,60398,60296.4,60381.8
1728611580,60381.8,60487.5,60381.7,60423.7
1728611640,60423.7,60487.8,60422.7,60466.7
1728611700,60466.7,60557.1,60466.7,60542.1
1728611760,60542.1,60704.4,60542.1,60703.3
1728611820,60703.3,60750,60548.5,60567.8
1728611880,60567.8,60605,60556.9,60590.3
1728611940,60590.3,60607.9,60554.6,60554.6
1728612000,60554.6,60582.4,60529.6,60529.6
1728612060,60529.6,60546.6,60517.4,60539.1
1728612120,60539.1,60561.8,60484,60493
1728612180,60493,60495.9,60470.4,60490.4
1728612240,60490.4,60490.4,60440.1,60440.1
1728612300,60440.1,60440.1,60415.9,60416.1
1728612360,60416.1,60424.3,60395.4,60420.2
1728612420,60420.2,60463.4,60420.2,60463.4
1728612480,60463.4,60468.2,60409.7,60416.1
1728612540,60416.1,60418.9,60392.3,60410.2
1728612600,60410.2,60447.6,60410.2,60422
1728612660,60422,60428.1,60411.6,60411.6
1728612720,60411.6,60420.9,60408,60416
1728612780,60416,60416,60364.7,60375.7
1728612840,60375.7,60389.7,60375.1,60383.4
1728612900,60383.4,60429.5,60383.4,60429.5
1728612960,60429.5,60499.3,60426,60494
1728613020,60494,60499.2,60482.4,60498.6
1728613080,60498.6,60499.9,60464.2,60471.6
1728613140,60471.6,60498.6,60471.6,60498.6
1728613200,60498.6,60498.6,60466.1,60486.3
